NID,CONTRIBUTOR,TOTAL
11,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",2
1359,"NNP GZC Car '9WHITE', Person 'A'",1
815,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",1
2100,"NNP GZC Car '3RED', Person 'B'",1
1660,"NNP GZC Car '3PURPLE', Person 'A'",1
1689,"NNP GZC Car '1BLUE', Person 'B'",1
1505,"NNP GZC Car '1PURPLE', Person 'B'",1
1893,"NNP GZC Car '1RED', Person 'A'",4
330,"PZ_MUGU_19,hyrule:joncrall:/media/raid/work/PZ_MUGU_19,,,,,0",9
1385,"NNP GZC Car '1BLUE', Person 'C'",1
2168,"NNP GZC Car '1PURPLE', Person 'B'",2
1537,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",2
273,"NNP GZC Car '2RED', Person 'D'",11
1650,"NNP GZC Car '15WHITE', Person 'D'",1
1686,"NNP GZC Car '1PURPLE', Person 'B'",5
1373,"NNP GZC Car '1BLUE', Person 'B'",2
897,"NNP GZC Car '8WHITE', Person 'A'",1
1039,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",1
1886,"NNP GZC Car '2RED', Person 'B'",1
1715,"NNP GZC Car '1PURPLE', Person 'A'",3
761,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",1
1177,"NNP GZC Car '3WHITE', Person 'A'",2
1206,"NNP GZC Car '1BLUE', Person 'C'",2
1086,"NNP GZC Car '25PURPLE', Person 'A'",1
1693,"NNP GZC Car '1BLUE', Person 'C'",1
1330,"NNP GZC Car '6WHITE', Person 'B'",1
1304,"NNP GZC Car '6WHITE', Person 'B'",1
1715,"NNP GZC Car '1PURPLE', Person 'B'",6
1968,"NNP GZC Car '1RED', Person 'A'",1
1678,"NNP GZC Car '1BLUE', Person 'B'",1
632,"PZ_MUGU_19,hyrule:joncrall:/media/raid/work/PZ_MUGU_19,,,,,0",1
1222,"NNP GZC Car '1WHITE', Person 'A'",1
1081,"NNP GZC Car '25PURPLE', Person 'A'",1
124,"NNP GZC Car '3RED', Person 'B'",2
725,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",3
992,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6",2
855,"NNP GZC Car '1PURPLE', Person 'B'",1
