NID,Count
1907,1
1813,1
1668,1
1432,1
1578,1
592,1
572,1
2072,1
538,1
1473,1
1297,1
1900,1
561,1
901,1
557,1
1239,1
1342,1
1321,1
641,1
531,1
2164,1
846,1
1427,1
2146,1
1296,1
1633,1
1130,1
2084,1
1069,1
1710,1
1399,1
1707,1
1891,1
506,1
702,1
414,1
327,1
1125,1
1078,1
1366,1
1189,1
439,1
1249,1
2086,1
1452,1
1637,1
423,1
858,1
429,1
526,1
1319,1
979,1
1433,1
1598,1
1989,1
1577,1
1594,1
602,1
1850,1
2053,1
434,1
1413,1
2151,1
2052,1
1763,1
1831,1
1743,1
1756,1
1115,1
1098,1
2069,1
1308,1
1213,1
1766,1
426,1
422,1
349,1
1615,1
1671,1
961,1
2150,1
523,1
428,1
1997,1
1071,1
441,1
1853,1
1090,1
1570,1
1786,1
1923,1
1351,1
1776,1
1120,1
1212,1
1914,1
1899,1
1726,1
1390,1
1208,1
1327,1
1172,1
1730,1
1077,1
1459,1
596,1
1095,1
1426,1
1917,1
2153,1
1829,1
1097,1
1032,1
814,1
1622,1
1806,1
1087,1
430,1
1579,1
1191,1
2139,1
1586,1
884,1
582,1
1416,1
816,1
1472,1
1187,1
1930,1
908,1
1176,1
842,1
425,1
524,1
1445,1
1068,1
1338,1
1732,1
763,1
1425,1
852,1
977,1
2093,1
1847,1
1286,1
1410,1
1114,1
1811,1
1765,1
1250,1
695,1
1126,1
1215,1
2142,1
1009,1
1419,1
403,1
895,1
1695,1
1842,1
943,1
402,1
1074,1
443,1
436,1
1760,1
1290,1
1350,1
453,1
397,1
1672,1
2127,1
753,1
1262,1
1448,1
1429,1
303,1
1855,1
1807,1
1331,1
1363,1
1761,1
1784,1
1576,1
1396,1
1412,1
1092,1
767,1
1320,1
1848,1
1734,1
1788,1
530,1
1441,1
1926,1
1224,1
1898,1
1204,1
1310,1
1096,1
1462,1
419,1
1994,1
905,1
1118,1
608,1
1463,1
1453,1
539,1
1349,1
589,1
1127,1
861,1
1680,1
2000,1
2163,1
877,1
1353,1
1234,1
1415,1
1745,1
