AID,GID,NID,CONTRIBUTOR
10466,7990,513,"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0"
15790,1646,1556,"NNP GZC Car '1PURPLE', Person 'A'"
13101,6962,1299,"NNP GZC Car '6WHITE', Person 'B'"
13409,64,1660,"NNP GZC Car '10WHITE', Person 'A'"
12376,1301,535,"NNP GZC Car '1BLUE', Person 'B'"
10409,7953,726,"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0"
10193,7814,316,"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0"
15969,624,1839,"NNP GZC Car '13WHITE', Person 'B'"
11295,8637,759,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
16210,5195,2127,"NNP GZC Car '3RED', Person 'B'"
13874,2633,1939,"NNP GZC Car '1RED', Person 'A'"
16216,5252,801,"NNP GZC Car '3RED', Person 'B'"
10538,8033,437,"PZ_MUGU_19,hyrule:joncrall:/media/raid/work/PZ_MUGU_19,,,,,0"
12864,5341,1721,"NNP GZC Car '3WHITE', Person 'A'"
11622,8886,688,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
14079,2094,1640,"NNP GZC Car '1PURPLE', Person 'D'"
10489,8009,325,"PZ_MUGU_19,hyrule:joncrall:/media/raid/work/PZ_MUGU_19,,,,,0"
12253,1376,1678,"NNP GZC Car '1BLUE', Person 'C'"
16498,7466,690,"NNP GZC Car '8WHITE', Person 'A'"
15918,254,1815,"NNP GZC Car '11WHITE', Person 'A'"
15004,1775,1502,"NNP GZC Car '1PURPLE', Person 'B'"
14353,1609,1546,"NNP GZC Car '1PURPLE', Person 'A'"
12977,5350,544,"NNP GZC Car '3WHITE', Person 'A'"
14545,1824,1552,"NNP GZC Car '1PURPLE', Person 'B'"
13247,7767,1357,"NNP GZC Car '9WHITE', Person 'A'"
12281,1240,696,"NNP GZC Car '1BLUE', Person 'A'"
13668,7314,1807,"NNP GZC Car '7WHITE', Person 'B'"
12493,4924,677,"NNP GZC Car '2WHITE', Person 'A'"
13298,395,1756,"NNP GZC Car '12WHITE', Person 'A'"
10876,8253,562,"PZ_MUGU_20,hyrule:joncrall:/media/raid/work/PZ_MUGU_20,,,,,0"
13009,4953,796,"NNP GZC Car '3PURPLE', Person 'A'"
15092,2392,860,"NNP GZC Car '1PURPLE', Person 'D'"
13854,5675,1826,"NNP GZC Car '4RED', Person 'A'"
15066,1833,1488,"NNP GZC Car '1PURPLE', Person 'B'"
14926,2469,1921,"NNP GZC Car '1PURPLE', Person 'D'"
14886,1739,1498,"NNP GZC Car '1PURPLE', Person 'B'"
14629,2227,1976,"NNP GZC Car '1PURPLE', Person 'D'"
16538,7443,1995,"NNP GZC Car '8WHITE', Person 'A'"
15585,967,792,"NNP GZC Car '15WHITE', Person 'C'"
11159,8524,279,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
13473,6244,1456,"NNP GZC Car '5WHITE', Person 'A'"
14449,5059,2123,"NNP GZC Car '3RED', Person 'A'"
12771,1302,1678,"NNP GZC Car '1BLUE', Person 'B'"
12041,9261,990,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
12763,1324,1386,"NNP GZC Car '1BLUE', Person 'B'"
16836,2659,1721,"NNP GZC Car '1RED', Person 'A'"
14300,1978,1717,"NNP GZC Car '1PURPLE', Person 'B'"
16863,2576,1944,"NNP GZC Car '1RED', Person 'A'"
11491,8781,670,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
11847,9040,910,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
14128,715,1484,"NNP GZC Car '14WHITE', Person 'A'"
16174,5157,2115,"NNP GZC Car '3RED', Person 'B'"
12164,3518,1053,"NNP GZC Car '25PURPLE', Person 'A'"
10665,8101,375,"PZ_MUGU_19,hyrule:joncrall:/media/raid/work/PZ_MUGU_19,,,,,0"
14444,1741,622,"NNP GZC Car '1PURPLE', Person 'B'"
15453,268,1028,"NNP GZC Car '11WHITE', Person 'A'"
18504,4570,1883,"NNP GZC Car '2RED', Person 'C'"
18682,4611,1869,"NNP GZC Car '2RED', Person 'C'"
13736,7177,1391,"NNP GZC Car '7WHITE', Person 'A'"
16237,5061,2114,"NNP GZC Car '3RED', Person 'A'"
15763,4822,1874,"NNP GZC Car '2RED', Person 'D'"
17882,3601,1867,"NNP GZC Car '2RED', Person 'A'"
17990,4049,1867,"NNP GZC Car '2RED', Person 'B'"
11802,8977,872,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
14854,1497,628,"NNP GZC Car '1PURPLE', Person 'A'"
16511,7544,897,"NNP GZC Car '8WHITE', Person 'A'"
10171,7800,497,"PZ_MUGU_18,hyrule:joncrall:/media/raid/work/PZ_MUGU_18,,,,,0"
18032,3982,769,"NNP GZC Car '2RED', Person 'A'"
11539,8828,666,"NNP_Master,pachy.cs.uic.edu:jonc:/home/shared_ibeis/data/work/NNP_Master,,,,,6"
18183,3779,896,"NNP GZC Car '2RED', Person 'A'"
18150,4799,1932,"NNP GZC Car '2RED', Person 'D'"
16246,5129,2162,"NNP GZC Car '3RED', Person 'A'"
18330,3590,1867,"NNP GZC Car '2RED', Person 'A'"
